energy_eV,delta_Im_epsilon
3.459999999999999964e+00,4.319979873212124630e+02
3.470000000000000195e+00,3.637532208520348149e+02
3.479999999999999982e+00,2.892966524581532894e+02
3.490000000000000213e+00,2.108561702515855245e+02
3.500000000000000000e+00,1.308783405784126330e+02
3.510000000000000231e+00,5.190461553896502522e+01
3.520000000000000018e+00,-2.356355036832486860e+01
3.530000000000000249e+00,-9.320237884497718994e+01
3.540000000000000036e+00,-1.549975195526462244e+02
3.550000000000000266e+00,-2.073613003523626048e+02
3.560000000000000053e+00,-2.492276230709187530e+02
3.570000000000000284e+00,-2.801179094691011073e+02
3.580000000000000071e+00,-3.001732203534610903e+02
3.589999999999999858e+00,-3.101497422742389745e+02
3.600000000000000089e+00,-3.113771283391297402e+02
3.609999999999999876e+00,-3.056815431697947929e+02
3.620000000000000107e+00,-2.952775411661166913e+02
3.629999999999999893e+00,-2.826349501502902513e+02
3.640000000000000124e+00,-2.703286014933109982e+02
3.649999999999999911e+00,-2.608799290189606950e+02
3.660000000000000142e+00,-2.566000699841519577e+02
3.669999999999999929e+00,-2.594440973443943221e+02
3.680000000000000160e+00,-2.708853891912068548e+02
3.689999999999999947e+00,-2.918179358827384249e+02
3.700000000000000178e+00,-3.224926742256096190e+02
3.709999999999999964e+00,-3.624918314511179460e+02
3.720000000000000195e+00,-4.107428967824992014e+02
3.729999999999999982e+00,-4.655713698043794011e+02
3.740000000000000213e+00,-5.247890244359616645e+02
3.750000000000000000e+00,-5.858122330325336407e+02
3.760000000000000231e+00,-6.458030603476372562e+02
3.770000000000000018e+00,-7.018244807614809133e+02
3.780000000000000249e+00,-7.510002808338798559e+02
3.790000000000000036e+00,-7.906700310619564789e+02
3.800000000000000266e+00,-8.185299523812240068e+02
3.810000000000000053e+00,-8.327515292722404183e+02
3.820000000000000284e+00,-8.320712579169654646e+02
3.830000000000000071e+00,-8.158468563715521213e+02
3.839999999999999858e+00,-7.840774696454255945e+02
3.850000000000000089e+00,-7.373877246259613685e+02
3.859999999999999876e+00,-6.769777705819881248e+02
3.870000000000000107e+00,-6.045435280251240329e+02
3.879999999999999893e+00,-5.221731249906015364e+02
3.890000000000000124e+00,-4.322268132009642727e+02
3.899999999999999911e+00,-3.372084474609167728e+02
3.910000000000000142e+00,-2.396368380551361952e+02
3.919999999999999929e+00,-1.419249461039157723e+02
3.930000000000000160e+00,-4.627402373236146360e+01
3.939999999999999947e+00,4.541152105043118326e+01
3.950000000000000178e+00,1.315844256774632584e+02
3.959999999999999964e+00,2.110878235505995804e+02
3.970000000000000195e+00,2.831611995252512202e+02
3.979999999999999982e+00,3.474207163531464744e+02
3.990000000000000213e+00,4.038172904551782949e+02
4.000000000000000000e+00,4.525771921395119648e+02
4.009999999999999787e+00,4.941309346585550202e+02
4.020000000000000462e+00,5.290367386944656118e+02
4.030000000000000249e+00,5.579048904037422290e+02
4.040000000000000036e+00,5.813288655957826450e+02
4.049999999999999822e+00,5.998282189598292007e+02
4.060000000000000497e+00,6.138070155805972945e+02
4.070000000000000284e+00,6.235301168735883266e+02
4.080000000000000071e+00,6.291180452210563772e+02
4.089999999999999858e+00,6.305595683323542744e+02
4.099999999999999645e+00,6.277396898045783473e+02
4.110000000000000320e+00,6.204795179405364252e+02
4.120000000000000107e+00,6.085836009263950928e+02
4.129999999999999893e+00,5.918898255665791339e+02
4.139999999999999680e+00,5.703169093062443835e+02
4.150000000000000355e+00,5.439048675180894179e+02
4.160000000000000142e+00,5.128445729039361822e+02
4.169999999999999929e+00,4.774935742403690142e+02
4.179999999999999716e+00,4.383766160568069381e+02
4.190000000000000391e+00,3.961706907263595099e+02
4.200000000000000178e+00,3.516758432477999463e+02
4.209999999999999964e+00,3.057742212105640647e+02
4.219999999999999751e+00,2.593809128774610144e+02
4.230000000000000426e+00,2.133908584169931828e+02
4.240000000000000213e+00,1.686264919179951960e+02
4.250000000000000000e+00,1.257907439837782562e+02
4.259999999999999787e+00,8.542960811296056534e+01
4.270000000000000462e+00,4.790768287264083369e+01
4.280000000000000249e+00,1.339900996244151266e+01
4.290000000000000036e+00,-1.810577571178855294e+01
4.299999999999999822e+00,-4.677637750122502780e+01
4.310000000000000497e+00,-7.290564314740255725e+01
4.320000000000000284e+00,-9.686131221378585110e+01
4.330000000000000071e+00,-1.190308117735425100e+02
4.339999999999999858e+00,-1.397639248690544207e+02
4.350000000000000533e+00,-1.593184861281586109e+02
4.360000000000000320e+00,-1.778141662302922441e+02
4.370000000000000107e+00,-1.951988899044290804e+02
4.379999999999999893e+00,-2.112315227089624443e+02
4.389999999999999680e+00,-2.254832235086252012e+02
4.400000000000000355e+00,-2.373583829792972324e+02
4.410000000000000142e+00,-2.461344648300214430e+02
4.419999999999999929e+00,-2.510184592268127801e+02
4.429999999999999716e+00,-2.512161736682060393e+02
4.440000000000000391e+00,-2.460093452632544597e+02
4.450000000000000178e+00,-2.348346641611151142e+02
4.459999999999999964e+00,-2.173583309627162237e+02
4.469999999999999751e+00,-1.935397810211214562e+02
4.480000000000000426e+00,-1.636787105234517696e+02
4.490000000000000213e+00,-1.284405114538105579e+02
4.500000000000000000e+00,-8.885660753260893330e+01
4.509999999999999787e+00,-4.629789134497062264e+01
4.520000000000000462e+00,-2.421378122986631354e+00
4.530000000000000249e+00,4.090782033947874652e+01
4.540000000000000036e+00,8.171518074575047308e+01
4.549999999999999822e+00,1.180303867635541479e+02
4.560000000000000497e+00,1.480087940429154969e+02
4.570000000000000284e+00,1.700527464991889701e+02
4.580000000000000071e+00,1.829243730452802197e+02
4.589999999999999858e+00,1.858416955533234045e+02
4.600000000000000533e+00,1.785506620476368482e+02
4.610000000000000320e+00,1.613670475534324282e+02
4.620000000000000107e+00,1.351839629664522420e+02
4.629999999999999893e+00,1.014428692718686733e+02
4.639999999999999680e+00,6.206837207389722266e+01
4.650000000000000355e+00,1.936951251325765355e+01
4.660000000000000142e+00,-2.408739028622374079e+01
4.669999999999999929e+00,-6.562721571212767913e+01
4.679999999999999716e+00,-1.026270463158379300e+02
4.690000000000000391e+00,-1.326797855333040275e+02
4.700000000000000178e+00,-1.537499762112986161e+02
4.709999999999999964e+00,-1.643115873630235910e+02
4.719999999999999751e+00,-1.634583981960608696e+02
4.730000000000000426e+00,-1.509791112044150339e+02
4.740000000000000213e+00,-1.273913851887708546e+02
4.750000000000000000e+00,-9.393147055034449977e+01
4.759999999999999787e+00,-5.249889769591960942e+01
4.770000000000000462e+00,-5.558537896563352732e+00
4.780000000000000249e+00,4.399486263003250031e+01
4.790000000000000036e+00,9.300206510157828177e+01
4.799999999999999822e+00,1.382249591495273080e+02
4.810000000000000497e+00,1.765412627226168638e+02
4.820000000000000284e+00,2.051363525850939311e+02
4.830000000000000071e+00,2.216802448314853677e+02
