energy_eV,delta_vs_alpha02,delta_vs_same_alpha
2.490000000000000213e+00,-1.604786495911389110e+01,-1.559009796026183992e+01
2.500000000000000000e+00,-1.376529715554510069e+01,-1.321049328562962266e+01
2.510000000000000231e+00,-1.121572234096316301e+01,-1.061648421004130327e+01
2.520000000000000018e+00,-8.496374287322790764e+00,-7.918113323808483983e+00
2.530000000000000249e+00,-5.702196545965637853e+00,-5.219342748382207020e+00
2.540000000000000036e+00,-2.922470645929258648e+00,-2.613156965030938306e+00
2.550000000000000266e+00,-2.381832459331106877e-01,-1.775142549010745308e-01
2.560000000000000053e+00,2.279766120785775119e+00,2.027649068517288100e+00
2.569999999999999840e+00,4.571479231327582049e+00,3.962223841705270200e+00
2.580000000000000071e+00,6.588122381319132082e+00,5.606477846234422024e+00
2.589999999999999858e+00,8.291226190660660578e+00,6.960360500544339857e+00
2.600000000000000089e+00,9.651361824806233614e+00,8.041645402715140278e+00
2.609999999999999876e+00,1.064637394233742285e+01,8.883059695748061202e+00
2.620000000000000107e+00,1.125937677138331239e+01,9.528604872814842253e+00
2.629999999999999893e+00,1.147672979297481000e+01,1.002931592274675232e+01
2.640000000000000124e+00,1.128620308720420162e+01,1.043873252346786451e+01
2.649999999999999911e+00,1.067552015191368930e+01,1.080836618472563515e+01
2.660000000000000142e+00,9.631429706538726876e+00,1.118344068880878339e+01
2.669999999999999929e+00,8.139410388319085143e+00,1.159916072325004777e+01
2.680000000000000160e+00,6.184056853153701461e+00,1.207772697861845046e+01
2.689999999999999947e+00,3.750136659528637395e+00,1.262626769116414671e+01
2.700000000000000178e+00,8.242487447856898797e-01,1.323579972436025898e+01
2.709999999999999964e+00,-2.603039439716042125e+00,1.388127027397465163e+01
2.720000000000000195e+00,-6.534744055988578992e+00,1.452266679441405550e+01
2.729999999999999982e+00,-1.096490709843249789e+01,1.510712139166325230e+01
2.740000000000000213e+00,-1.587614786722020455e+01,1.557188008728596174e+01
2.750000000000000000e+00,-2.123754513102502628e+01,1.584795999209157458e+01
2.760000000000000231e+00,-2.700305725135626744e+01,1.586428093861754895e+01
2.770000000000000018e+00,-3.311065771686335779e+01,1.555203423657373030e+01
2.780000000000000249e+00,-3.948231992887888708e+01,1.484904091930448722e+01
2.790000000000000036e+00,-4.602493055320930893e+01,1.370385535569700508e+01
2.800000000000000266e+00,-5.263214897243132384e+01,1.207938686842438258e+01
2.810000000000000053e+00,-5.918716556076800828e+01,9.955840782260850119e+00
2.819999999999999840e+00,-6.556624815878123513e+01,7.332819270045671800e+00
2.830000000000000071e+00,-7.164290871592794474e+01,4.230469120273554040e+00
2.839999999999999858e+00,-7.729247472496122384e+01,6.896154181285432117e-01
2.850000000000000089e+00,-8.239681629264400442e+01,-3.229125788503884209e+00
2.859999999999999876e+00,-8.684896209275483159e+01,-7.447209413244729959e+00
2.870000000000000107e+00,-9.055733756577338056e+01,-1.187090161425271440e+01
2.879999999999999893e+00,-9.344937689291995753e+01,-1.639475850051634609e+01
2.890000000000000124e+00,-9.547429555400455570e+01,-2.090566788713147162e+01
2.899999999999999911e+00,-9.660486053696465092e+01,-2.528725321756110489e+01
2.910000000000000142e+00,-9.683805726934838276e+01,-2.942442428660252318e+01
2.919999999999999929e+00,-9.619462196789372399e+01,-3.320785641236966512e+01
2.930000000000000160e+00,-9.471748061401179086e+01,-3.653818806759408488e+01
2.939999999999999947e+00,-9.246920612542632512e+01,-3.932974593506139627e+01
2.950000000000000178e+00,-8.952866852461922065e+01,-4.151363459656424482e+01
2.959999999999999964e+00,-8.598710442693418088e+01,-4.304006383321453910e+01
2.970000000000000195e+00,-8.194386815082717135e+01,-4.387982768546334711e+01
2.979999999999999982e+00,-7.750214438864917099e+01,-4.402489364119854542e+01
2.990000000000000213e+00,-7.276490012603585456e+01,-4.348810514237294456e+01
3.000000000000000000e+00,-6.783133121957584422e+01,-4.230204362045762423e+01
3.010000000000000231e+00,-6.279401803992366382e+01,-4.051713526059494797e+01
3.020000000000000018e+00,-5.773694755347057850e+01,-3.819912072209747578e+01
3.030000000000000249e+00,-5.273449007215196360e+01,-3.542603157454936991e+01
3.040000000000000036e+00,-4.785134254726706615e+01,-3.228483418248698911e+01
3.050000000000000266e+00,-4.314337226539148418e+01,-2.886790964436581319e+01
3.060000000000000053e+00,-3.865922092889205430e+01,-2.526953715316729188e+01
3.070000000000000284e+00,-3.444246501965226059e+01,-2.158253830151112140e+01
3.080000000000000071e+00,-3.053407912774752830e+01,-1.789522237534859883e+01
3.089999999999999858e+00,-2.697491869015605914e+01,-1.428874893046472394e+01
3.100000000000000089e+00,-2.380793015053035333e+01,-1.083499558299187449e+01
3.109999999999999876e+00,-2.107981120673668585e+01,-7.594987809218313402e+00
3.120000000000000107e+00,-1.884188117130507933e+01,-4.617915544437533271e+00
3.129999999999999893e+00,-1.714997944910624028e+01,-1.940730342416031817e+00
3.140000000000000124e+00,-1.606328506207464102e+01,4.117115139765807896e-01
3.149999999999999911e+00,-1.564203697783917590e+01,2.426018857339563795e+00
3.160000000000000142e+00,-1.594422764083535071e+01,4.099226484974277440e+00
3.169999999999999929e+00,-1.702143384593808051e+01,5.437438357731746663e+00
3.180000000000000160e+00,-1.891403306400116691e+01,6.454251654398804661e+00
3.189999999999999947e+00,-2.164612299294427444e+01,7.169061326145683921e+00
3.200000000000000178e+00,-2.522051175755456498e+01,7.605340388815029939e+00
3.209999999999999964e+00,-2.961417136726759480e+01,7.788982023029337398e+00
3.220000000000000195e+00,-3.477454493357187459e+01,7.746776639408293974e+00
3.229999999999999982e+00,-4.061706778468619206e+01,7.505081569485444248e+00
3.240000000000000213e+00,-4.702420502017828596e+01,7.088724176055668735e+00
3.250000000000000000e+00,-5.384622621523600117e+01,6.520162117222710663e+00
3.260000000000000231e+00,-6.090383671151023748e+01,5.818908307439244254e+00
3.270000000000000018e+00,-6.799267052588669458e+01,5.001213675627246502e+00
3.280000000000000249e+00,-7.488952977564250091e+01,4.079988776223025582e+00
3.290000000000000036e+00,-8.136013766397503844e+01,3.064936062185077859e+00
3.300000000000000266e+00,-8.716806454985106711e+01,1.962858323030262753e+00
3.310000000000000053e+00,-9.208439698229250325e+01,7.781053329698881527e-01
3.320000000000000284e+00,-9.589765430232577614e+01,-4.868801480129576476e-01
3.330000000000000071e+00,-9.842342147392812990e+01,-1.830954664512848495e+00
