energy_au,energy_eV,re_eps_z,im_eps_z
0.39100000,10.63965202,-2.990249454473e+02,-1.122309722053e+02
0.39200000,10.66686341,-2.914531271848e+02,-1.151718452616e+02
0.39300000,10.69407479,-2.838676532335e+02,-1.178118739611e+02
0.39400000,10.72128618,-2.762823755156e+02,-1.201534371269e+02
0.39500000,10.74849757,-2.687108802514e+02,-1.221996316988e+02
0.39600000,10.77570895,-2.611664484353e+02,-1.239542507976e+02
0.39700000,10.80292034,-2.536620179519e+02,-1.254217595386e+02
0.39800000,10.83013173,-2.462101474656e+02,-1.266072687140e+02
0.39900000,10.85734311,-2.388229822022e+02,-1.275165064675e+02
0.40000000,10.88455450,-2.315122217405e+02,-1.281557880967e+02
0.40100000,10.91176588,-2.242890899154e+02,-1.285319841212e+02
0.40200000,10.93897727,-2.171643069281e+02,-1.286524867622e+02
0.40300000,10.96618866,-2.101480637489e+02,-1.285251749841e+02
0.40400000,10.99340004,-2.032499988866e+02,-1.281583782531e+02
0.40500000,11.02061143,-1.964791775888e+02,-1.275608391719e+02
0.40600000,11.04782282,-1.898440735261e+02,-1.267416751519e+02
0.40700000,11.07503420,-1.833525530042e+02,-1.257103392878e+02
0.40800000,11.10224559,-1.770118617339e+02,-1.244765806002e+02
0.40900000,11.12945697,-1.708286141811e+02,-1.230504038131e+02
0.41000000,11.15666836,-1.648087855072e+02,-1.214420288338e+02
0.41100000,11.18387975,-1.589577060968e+02,-1.196618501012e+02
0.41200000,11.21109113,-1.532800586641e+02,-1.177203959687e+02
0.41300000,11.23830252,-1.477798779133e+02,-1.156282882843e+02
0.41400000,11.26551391,-1.424605527211e+02,-1.133962023300e+02
0.41500000,11.29272529,-1.373248307995e+02,-1.110348272764e+02
0.41600000,11.31993668,-1.323748257846e+02,-1.085548273086e+02
0.41700000,11.34714806,-1.276120266900e+02,-1.059668035703e+02
0.41800000,11.37435945,-1.230373096536e+02,-1.032812570724e+02
0.41900000,11.40157084,-1.186509518964e+02,-1.005085527024e+02
