itt,time_au,time_as,para_z,dia_z,total_z
236,4.7200000000,114.1713402110,2.275322000000e-05,6.063313000000e-05,8.338635000000e-05
237,4.7400000000,114.6551170763,1.913454000000e-05,6.063313000000e-05,7.976768000000e-05
238,4.7600000000,115.1388939416,1.551755000000e-05,6.063313000000e-05,7.615068000000e-05
239,4.7800000000,115.6226708069,1.190301000000e-05,6.063313000000e-05,7.253614000000e-05
240,4.8000000000,116.1064476722,8.291644000000e-06,6.063313000000e-05,6.892478000000e-05
241,4.8200000000,116.5902245375,4.684172000000e-06,6.063313000000e-05,6.531730000000e-05
242,4.8400000000,117.0740014028,1.081263000000e-06,6.063313000000e-05,6.171440000000e-05
243,4.8600000000,117.5577782681,-2.516436000000e-06,6.063313000000e-05,5.811670000000e-05
244,4.8800000000,118.0415551334,-6.108309000000e-06,6.063313000000e-05,5.452482000000e-05
245,4.9000000000,118.5253319987,-9.693764000000e-06,6.063313000000e-05,5.093937000000e-05
246,4.9200000000,119.0091088640,-1.327224000000e-05,6.063313000000e-05,4.736089000000e-05
247,4.9400000000,119.4928857293,-1.684320000000e-05,6.063313000000e-05,4.378994000000e-05
248,4.9600000000,119.9766625946,-2.040612000000e-05,6.063313000000e-05,4.022701000000e-05
249,4.9800000000,120.4604394599,-2.396052000000e-05,6.063313000000e-05,3.667262000000e-05
250,5.0000000000,120.9442163252,-2.750592000000e-05,6.063313000000e-05,3.312721000000e-05
251,5.0200000000,121.4279931906,-3.104189000000e-05,6.063313000000e-05,2.959125000000e-05
252,5.0400000000,121.9117700559,-3.456798000000e-05,6.063313000000e-05,2.606515000000e-05
253,5.0600000000,122.3955469212,-3.808380000000e-05,6.063313000000e-05,2.254933000000e-05
254,5.0800000000,122.8793237865,-4.158896000000e-05,6.063313000000e-05,1.904417000000e-05
255,5.1000000000,123.3631006518,-4.508307000000e-05,6.063313000000e-05,1.555006000000e-05
256,5.1200000000,123.8468775171,-4.856579000000e-05,6.063313000000e-05,1.206734000000e-05
257,5.1400000000,124.3306543824,-5.203676000000e-05,6.063313000000e-05,8.596367000000e-06
258,5.1600000000,124.8144312477,-5.549567000000e-05,6.063313000000e-05,5.137461000000e-06
259,5.1800000000,125.2982081130,-5.894219000000e-05,6.063313000000e-05,1.690941000000e-06
260,5.2000000000,125.7819849783,-6.237602000000e-05,6.063313000000e-05,-1.742886000000e-06
261,5.2200000000,126.2657618436,-6.579686000000e-05,6.063313000000e-05,-5.163727000000e-06
262,5.2400000000,126.7495387089,-6.920443000000e-05,6.063313000000e-05,-8.571296000000e-06
263,5.2600000000,127.2333155742,-7.259845000000e-05,6.063313000000e-05,-1.196532000000e-05
264,5.2800000000,127.7170924395,-7.597865000000e-05,6.063313000000e-05,-1.534552000000e-05
265,5.3000000000,128.2008693048,-7.934477000000e-05,6.063313000000e-05,-1.871164000000e-05
266,5.3200000000,128.6846461701,-8.269656000000e-05,6.063313000000e-05,-2.206343000000e-05
267,5.3400000000,129.1684230354,-8.603376000000e-05,6.063313000000e-05,-2.540062000000e-05
268,5.3600000000,129.6521999007,-8.935612000000e-05,6.063313000000e-05,-2.872299000000e-05
269,5.3800000000,130.1359767660,-9.266340000000e-05,6.063313000000e-05,-3.203027000000e-05
270,5.4000000000,130.6197536313,-9.595535000000e-05,6.063313000000e-05,-3.532222000000e-05
271,5.4200000000,131.1035304966,-9.923175000000e-05,6.063313000000e-05,-3.859861000000e-05
272,5.4400000000,131.5873073619,-1.024923000000e-04,6.063313000000e-05,-4.185920000000e-05
273,5.4600000000,132.0710842272,-1.057369000000e-04,6.063313000000e-05,-4.510375000000e-05
